"","İlan Başlığı","Yıl","Kilometre","Renk","Fiyat","Tarih","İl / İlçe","shortname","lon","lat"
"343","Volkswagen Jetta 1.6 TDi Comfortline
            2013 VOLKSWAGEN JETTA 1.6 TDİ COMFORTLİNE.. DSG ....","2013",121000,"Siyah",72750,"13 Mayıs 2017"," Ankara Akyurt","Volkswagen Jetta 1.6",35.905686,41.561959
"443","Skoda Felicia 1.6 GLXi
            210.000 KM DE SKODA FELİCİA 1.6 GLX","2001",210000,"Gri (Gümüş)",17500,"13 Mayıs 2017"," Konya Karatay","Skoda Felicia 1.6 GL",35.905686,41.561959
"542","Renault R 19 1.6 Europa Alize
            ORJİNAL DEĞİŞENSİNİZ ALİZE","2001",180000,"Gri (metalik)",20000,"13 Mayıs 2017"," Tokat Zile","Renault R 19 1.6 Eur",30.285765,36.366948
"743","Renault R 9 1.4 Broadway
            1993 Güzel Bakımlı Brodvey","1993",2121,"Bordo",9500,"13 Mayıs 2017"," Tokat Erbaa","Renault R 9 1.4 Broa",34.3343822,40.2141538
"843","Opel Astra 1.6 Comfort
            TERZİ OTOMOTİV DEN 2001 MODEL LPG Lİ TEMİZ ASTRA","2001",254000,"Beyaz",28500,"13 Mayıs 2017","Şanlıurfa Haliliye","Opel Astra 1.6 Comfo",29.127778,40.983333
"943","Ford Focus 1.6 TDCi Trend
            AŞKAR,OTODAN,2007,MODEL,  Ford  >  Focus   1.6  TDCi >  Trend","2007",188000,"Beyaz",33500,"13 Mayıs 2017"," Konya Karatay","Ford Focus 1.6 TDCi ",29.2204548,40.9184004
"1042","Renault Megane 1.5 dCi Touch Plus
            1.5 dCi TOUCH PLUS--HATASIZ BAKIMLI","2014",75000,"Beyaz",57500,"13 Mayıs 2017"," Bursa Osmangazi","Renault Megane 1.5 d",37.3399768,37.203126
"1143","Renault Megane 1.5 dCi Privilege
            COK TEMIZ MASRAFSIZ","2006",194000,"Füme",33250,"13 Mayıs 2017"," Adana Seyhan","Renault Megane 1.5 d",37.3399768,37.203126
"1243","Honda City 1.4 LS
            GALERİ BEYAZDAN  2009  CİTY  LS  OTOMATİK  LPG  Lİ  ŞİLİ","2009",140000,"Gri (Gümüş)",34000,"13 Mayıs 2017"," Ankara Polatlı","Honda City 1.4 LS
 ",27.0558707,38.8211393
"1343","Opel Astra 1.6 Comfort
            TERZİ OTOMOTİV DEN 2000 MODEL LPG Lİ TEMİZ ASTRA","2000",2e+05,"Siyah",22000,"13 Mayıs 2017","Şanlıurfa Haliliye","Opel Astra 1.6 Comfo",32.9212265,39.8451842
"1443","Mercedes - Benz E 180 Elite
            2014 MODEL MERCEDES E 180 ELİTE SİYAH-BEJ HATASIZ","2014",95000,"Siyah",144000,"13 Mayıs 2017","İstanbul Beykoz","Mercedes - Benz E 18",27.0558707,38.8211393
"1543","Renault R 9 1.4 Broadway RN
            TERZİ OTOMOTİV DEN 1997 MODEL LPG Lİ TEMİZ BROADWAY","1997",2e+05,"Beyaz",12500,"13 Mayıs 2017","Şanlıurfa Haliliye","Renault R 9 1.4 Broa",27.0558707,38.8211393
"1643","BMW 3 Serisi 318ti Compact
            BAHAR OTOMOTİV","1995",250000,"Beyaz",23500,"13 Mayıs 2017"," Mersin Anamur","BMW 3 Serisi 318ti C",27.0558707,38.8211393
"1843","Opel Astra 1.3 CDTI Enjoy
            DİNÇER OTODAN SATILIK 2006 MODEL OPEL ASTRA","2006",166000,"Gri (Gümüş)",32000,"13 Mayıs 2017","İstanbul Pendik","Opel Astra 1.3 CDTI ",37.3399768,37.203126
"1943","Volkswagen Passat 1.6 TDi BlueMotion Comfortline
            PASSAT 1.6 TDİ BlueMotion comfortline OTOMATİK HATASIZ 25000 KM
                
                            
                            Yeni Gibi","2015",25500,"Beyaz",133000,"13 Mayıs 2017","İstanbul Küçükçekmece","Volkswagen Passat 1.",41.37343,37.415148
"2043","BMW 5 Serisi 520d Exclusive
            HÜSEYİN OTOMOTİVDEN TEMİZ BİRİNCİ SINIF GIRTLAK DOLUSU ARAÇ.","2013",105000,"Gri (metalik)",187500,"13 Mayıs 2017"," Adana Seyhan","BMW 5 Serisi 520d Ex",28.7206721,40.9801984
"2144","Audi A4 2.0 TDI Allroad Quattro
            BAYRAK DAN 2015 AUDİ A4 ALLROAD QUATTRO 2.0TDI DOĞUŞ ÇIKIŞLI
                
                            
                            Yeni Gibi","2015",25000,"Füme",218000,"13 Mayıs 2017","İstanbul Kartal","Audi A4 2.0 TDI Allr",29.127778,40.983333
"2243","Ford Focus 1.6 TDCi Titanium
            DİNÇER OTODAN SATILIK 2012 FORD FOCUS","2012",78000,"Gri (titanyum)",54000,"13 Mayıs 2017","İstanbul Pendik","Ford Focus 1.6 TDCi ",29.127778,40.983333
"2343","Lada Samara 1.5
            TERTEMİZ ORJİNAL 93 LADA SAMARA DOSTA GİDER","1993",87000,"Gri",7500,"13 Mayıs 2017"," Nevşehir Merkez","Lada Samara 1.5
   ",37.3399768,37.203126
"273","Renault R 12 Toros
            BAHAR OTOMOTİV","1989",50000,"Mavi",11250,"13 Mayıs 2017"," Mersin Anamur","Renault R 12 Toros
",29.127778,40.983333
"344","Opel Astra 1.4 T Sport
            ''RESPECT CAR'' 2015 OPEL ASTRA 1.4T 140HP BOYASIZ SPORT","2015",38000,"Beyaz",63000,"13 Mayıs 2017","İstanbul Kadıköy","Opel Astra 1.4 T Spo",39.1889005,38.7312587
"444","Renault R 9 1.4 Broadway
            TERZİ OTOMOTİV DEN 1993 MODEL LPG Lİ TEMİZ BROADWAY","1993",2e+05,"Beyaz",9500,"13 Mayıs 2017","Şanlıurfa Haliliye","Renault R 9 1.4 Broa",30.5256311,39.7667061
"543","Opel Astra 1.6 Elegance
            AŞKAR,OTODAN,2004,MODEL > Opel  Astra  1.6  Elegance","2004",2e+05,"Gri (Gümüş)",32500,"13 Mayıs 2017"," Konya Karatay","Opel Astra 1.6 Elega",28.138052,38.487074
"744","Peugeot 407 1.6 HDi Executive
            2008 MODEL 1.6 HDİ ORJINAL HATASIZ TAKAS OLUR","2008",170000,"Mavi",39500,"13 Mayıs 2017"," Kayseri Melikgazi","Peugeot 407 1.6 HDi ",29.3177272,41.104235
"844","Renault R 9 1.4 Spring
            MASRAFSIZ TERTEMİZ 94 SPRİNK","1994",280000,"Kırmızı",7500,"13 Mayıs 2017"," Nevşehir Merkez","Renault R 9 1.4 Spri",41.37343,37.415148
"944","Renault Clio 1.4 Fidji
            2004 CLİO FDJİ 1.4 BENZİNLİ","2004",250000,"Gri",24750,"13 Mayıs 2017"," Sakarya Erenler","Renault Clio 1.4 Fid",37.3399768,37.203126
"1043","Renault R 12 Toros
            BAHAR OTOMOTİV","1994",90000,"Beyaz",14500,"13 Mayıs 2017"," Mersin Anamur","Renault R 12 Toros
",29.3177272,41.104235
"1144","Ford Escort 1.6 CL
            SENLIKDEN KILIMALI ZETEC YENI VIZELI","1997",33680,"Beyaz",14700,"13 Mayıs 2017","İzmir Gaziemir","Ford Escort 1.6 CL
",29.2204548,40.9184004
"1244","Nissan 350 Z 3.5 Coupe
            ''RESPECT CAR'' 2004 NİSSAN 350Z BOSE BASSSANİ HEADERS VE EGSOZ","2004",108000,"Siyah",119000,"13 Mayıs 2017","İstanbul Kadıköy","Nissan 350 Z 3.5 Cou",39.1889005,38.7312587
"1344","Toyota Corolla 1.4 D-4D Premium
            FULL+FULL HATASIZ BOYASIZ HASARSIZ
                
                            
                            İlk Sahibi","2013",117000,"Beyaz",71000,"13 Mayıs 2017"," Batman Merkez","Toyota Corolla 1.4 D",39.1889005,38.7312587
"1444","Toyota Avensis 1.6 Elegant
            ÖZ EMRE OTOMOTİVDEN SATILIK 2008 MODEL AVENSİS 1.6 ELEGANT BENZİN+LPG","2008",220000,"Gri",36500,"13 Mayıs 2017"," Vanİpekyolu","Toyota Avensis 1.6 E",28.138052,38.487074
"1544","Renault R 9 1.4 Broadway
            TERTEMİZ BRODWAY 95 MODEL   SIFIRMUANE  MOTOR SÜPER YAKIT CİMRİSİ","1995",229000,"Beyaz",13250,"13 Mayıs 2017"," Nevşehir Merkez","Renault R 9 1.4 Broa",39.1889005,38.7312587
"1644","Chevrolet Cruze 2.0 D LTZ
            GÜNEŞ OTO DAN 2012 CRUZE 2.0 D LTZ EN DOLUSU SANRUFLU YENİ VİZE","2012",143000,"Siyah",41500,"13 Mayıs 2017"," Aydın Germencik","Chevrolet Cruze 2.0 ",39.1889005,38.7312587
"1844","BMW 5 Serisi 520i M Sport
            YENİ KASA 5.20 İÇ DIŞ M PAKET FULL DONANIM","2013",50000,"Beyaz",143000,"13 Mayıs 2017"," Antalya Muratpaşa","BMW 5 Serisi 520i M ",37.3399768,37.203126
"1944","Hyundai Accent 1.3 LX
            ACİL SATILIK 99 MODEL ACCENT LPG Lİ DOSTA GİDER","1999",227000,"Beyaz",13250,"13 Mayıs 2017"," Nevşehir Merkez","Hyundai Accent 1.3 L",31.3209348,40.7708616
"2044","Volkswagen Polo 1.6 TDi Comfortline
            2014 DİZEL OTOMATİK POLO %25 PEŞİN KKALANINA 36 AY  SENETLE VADE İMKANI","2014",90000,"Siyah",59750,"13 Mayıs 2017"," Ankara Altındağ","Volkswagen Polo 1.6 ",39.1889005,38.7312587
"2145","Skoda Octavia 1.6 TDI Optimal
            2015 SKODA OCTAVİA 1.6 DİZEL OPTİMAL HATASIZ 17000 KM DE
                
                            
                            Yeni Gibi","2015",17000,"Gri",82500,"13 Mayıs 2017"," Bursa Osmangazi","Skoda Octavia 1.6 TD",39.1889005,38.7312587
"2244","Renault R 9 1.6 Fairway
            94 TEMİZ MASRAFSIZ RENAULT FAİRWAY
                
                            
                            İlk Sahibi","1994",290000,"Mavi (metalik)",9000,"13 Mayıs 2017"," YozgatŞefaatli","Renault R 9 1.6 Fair",27.1382404,38.3231215
"2344","Renault Talisman 1.6 Tce Premiere Edition
            RENAULT AMİRAL GEMİSİ YENİ TALİSMAN VİZYON PAKET v KONTROL PAKET
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2016",17000,"Gri (metalik)",135000,"13 Mayıs 2017"," AnkaraÇankaya","Renault Talisman 1.6",27.1382404,38.3231215
"274","Renault R 12 Toros
            BAHAR OTOMOTİV","1993",270000,"Sarı",11750,"13 Mayıs 2017"," Mersin Anamur","Renault R 12 Toros
",32.9888319,37.8232112
"345","Fiat Tempra 1.6 SX A
            Hastasına hastasından","1993",12345,"Gri (Gümüş)",10350,"13 Mayıs 2017"," Antalya Kepez","Fiat Tempra 1.6 SX A",32.9888319,37.8232112
"445","Ford Mondeo 2.0 TDCi Titanium
            GALERİ BEYAZDAN 2012 TİTANİUM 2.0 TDCİ OTOMATİK BOYASIZ-HATASIZ","2012",120000,"Beyaz",64750,"13 Mayıs 2017"," Ankara Polatlı","Ford Mondeo 2.0 TDCi",32.9888319,37.8232112
"544","Renault Megane 1.5 dCi Exception
            2010 MODEL RENAULT MEGANE 1.5 DCİ EXEPTİON...ORJİNAL....","2010",163000,"Gri (Gümüş)",39750,"13 Mayıs 2017"," Antalya Muratpaşa","Renault Megane 1.5 d",30.5256311,39.7667061
"745","Mercedes - Benz CLA 180 CDI AMG
            AUTOCAR 2014 MERCEDES CLA 180 CDI AMG+GECE PAKET
                
                            
                            Yeni Gibi","2014",15000,"Beyaz",146000,"13 Mayıs 2017"," Bursa Osmangazi","Mercedes - Benz CLA ",27.1382404,38.3231215
"845","Renault Clio 1.4 Privilege
            BAHAR OTOMOTİV","2003",240000,"Beyaz",22500,"13 Mayıs 2017"," Mersin Anamur","Renault Clio 1.4 Pri",32.9212265,39.8451842
"945","Lada Samara 1.5
            1995 Lada Samara","1995",160000,"Bej",7500,"13 Mayıs 2017"," Tokat Zile","Lada Samara 1.5
   ",32.9212265,39.8451842
"1044","Renault Symbol 1.4 Dynamique
            Clio Symbol 2002","2002",160000,"Beyaz",22000,"13 Mayıs 2017"," Bilecik Bozüyük","Renault Symbol 1.4 D",35.2587964,36.9674013
"1145","Fiat Tipo 1.4 S
            Tipo 1.4 S","1998",173000,"Yeşil",13750,"13 Mayıs 2017"," Bilecik Bozüyük","Fiat Tipo 1.4 S
   ",32.9212265,39.8451842
"1245","Tofaş Serçe
            SERCE","1986",0,"Beyaz",5000,"13 Mayıs 2017"," Muğla Köyceğiz","Tofaş Serçe
       ",27.1382404,38.3231215
"1345","Renault Clio 1.4 RTA
            ERDEMİR OTOMOTİV 2001 SEDAN 14 16V CLİO 21.500 TL","2001",210000,"Diğer",21500,"13 Mayıs 2017","İzmir Buca","Renault Clio 1.4 RTA",31.3209348,40.7708616
"1445","Honda Civic 1.6 Elegance
            Civic 1.6 Elegance Otomatik Lpg'li","2012",90000,"Siyah",55000,"13 Mayıs 2017"," Bilecik Bozüyük","Honda Civic 1.6 Eleg",30.769476,36.8827594
"1545","BMW M Serisi M3
            34 CCZ 34   SATIŞTA  4 KAPI M3   280 HB 3200 CC","1994",187000,"Beyaz",49950,"13 Mayıs 2017","İstanbul Ataşehir","BMW M Serisi M3
   ",31.3209348,40.7708616
"1645","Hyundai Accent Era 1.4 Team
            2011 MODEL 108.000KM DE-HYUNDAİ ACCENT ERA-LOVATO LPG....","2011",108000,"Gri (Gümüş)",31750,"13 Mayıs 2017"," Antalya Muratpaşa","Hyundai Accent Era 1",28.138052,38.487074
"1845","Volkswagen Passat 1.4 TSi Comfortline
            Hatasız Boyasız F1 Vites","2010",169000,"Gri (Gümüş)",59000,"13 Mayıs 2017"," Burdur Merkez","Volkswagen Passat 1.",31.3209348,40.7708616
"1945","Renault Symbol 1.5 dCi Authentique
            ÖZTÜRK OTOMOTİVDEN DİZEL SYMBOL DEĞİŞENSİZ","2011",177000,"Gri",27900,"13 Mayıs 2017","İzmir Buca","Renault Symbol 1.5 d",37.3399768,37.203126
"2045","Fiat Punto 1.3 Multijet Dynamic
            2005 MODEL 1.3 MULTIJET KLIMALI PUNTO","2005",2e+05,"Mavi (metalik)",26500,"13 Mayıs 2017"," TekirdağÇorlu","Fiat Punto 1.3 Multi",31.3209348,40.7708616
"2146","Dacia Lodgy 1.5 dCi Laureate
            2013DACİA LODGY 1.5DCİ LAUREATE 5KİŞİLİK 107KMDE HUSUSİ OTOMOBİL
                
                            
                            İlk Sahibi","2013",107000,"Beyaz",41500,"13 Mayıs 2017","İstanbul Maltepe","Dacia Lodgy 1.5 dCi ",31.3209348,40.7708616
"2245","Renault Megane 1.2 TCe Touch
            130 BG TURBOLU SIFIR FUL TOUCH PAKET MEGAN 4
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2016",2000,"Beyaz",72000,"13 Mayıs 2017"," TekirdağÇorlu","Renault Megane 1.2 T",31.3209348,40.7708616
"2345","Volkswagen Passat 1.8 TSi Comfortline
            AYHAN OTOMOTİV'DEN 2010 PASSAT 1.8 TSİ LPG Lİ COMFORTLİNE ORJ","2010",91000,"Gri (Gümüş)",55750,"13 Mayıs 2017"," Düzce Merkez","Volkswagen Passat 1.",31.3209348,40.7708616
"275","Nissan Maxima 2.0 QX
            NISSAN MAXİMA-2.0 QX-SIRALI LPG Lİ-TERTEMİZ-ORJİNAL....","1997",287000,"Beyaz",21750,"13 Mayıs 2017"," Antalya Muratpaşa","Nissan Maxima 2.0 QX",39.1889005,38.7312587
"346","Fiat Punto 1.4 Easy S&S
            Sorunsuz, yeni gibi Punto","2012",62000,"Beyaz",34500,"13 Mayıs 2017"," Edirne Merkez","Fiat Punto 1.4 Easy ",39.1889005,38.7312587
"446","Ford Focus 1.6 Ghia
            EYLÜL AUTO DAN 2000 MODEL FORD FOCUS GHİA 1.6 LPG Lİ ÇOK TEMİZ....","2000",240000,"Gri (Gümüş)",25250,"13 Mayıs 2017"," Adana Seyhan","Ford Focus 1.6 Ghia",29.5339711,40.9329106
"545","Toyota Corolla 1.33 Life
            TOYOTA PLAZA MIÇI'DAN BOYASIZ 2015 TOYOTA COROLLA 1.33 LİFE","2015",68940,"Beyaz",56000,"13 Mayıs 2017"," Adana Seyhan","Toyota Corolla 1.33 ",39.1889005,38.7312587
"746","Daewoo Nubira 2.0 CDX
            1998  MODEL DAEWUU NUBİRA OTOMATİK FULL","1998",160000,"Beyaz",16750,"13 Mayıs 2017","İstanbul Ataşehir","Daewoo Nubira 2.0 CD",36.9228223,37.5752755
"846","Audi A3 1.6 Ambiente
            OTOMATİK-AUDİ A3-SIRALI SİSTEM LPG Lİ-BAKIMLI-MASRAFSIZ....","1999",260000,"Beyaz",22750,"13 Mayıs 2017"," Antalya Muratpaşa","Audi A3 1.6 Ambiente",38.3654439,38.42502
"946","Kia Cerato 1.6 CRDi Concept Plus
            KIA BAYİ TEKKAR'DAN HATASIZ DCT 136 BEYGİR CERATO PLUS
                
                            
                            Yeni Gibi","2016",29000,"Beyaz",81950,"13 Mayıs 2017","İstanbul Kartal","Kia Cerato 1.6 CRDi ",38.3654439,38.42502
"1045","Kia Rio 1.4 CRDi Fancy
            91.000 KM'DE HATASIZ KİA RİO FANCY","2013",91000,"Beyaz",44900,"13 Mayıs 2017"," Antalya Serik","Kia Rio 1.4 CRDi Fan",36.5550757,41.2578477
"1146","Honda Civic 1.6 Dream
            HATASIZ FULL BAKIMLI 2008 MODEL HONDA CIVIC","2008",219000,"Gri (Gümüş)",42900,"13 Mayıs 2017"," Ankara Akyurt","Honda Civic 1.6 Drea",35.19038,39.812821
"1246","Toyota Corolla 1.4 D-4D Advance
            TOYOTA PLAZA MIÇI'DAN 2014 TOYOTA COROLLA 1.4 D-4D ADVANCE M/M","2014",50225,"Beyaz",74500,"13 Mayıs 2017"," Adana Seyhan","Toyota Corolla 1.4 D",35.19038,39.812821
"1346","Hyundai i10 1.2 D-CVVT Elite
            HUYUNDİ İ10 FUL* FUL
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2016",4000,"Beyaz",55250,"13 Mayıs 2017"," Elazığ Merkez","Hyundai i10 1.2 D-CV",35.2587964,36.9674013
"1446","Ford Mondeo 1.6 Titanium
            PIRIL PIRIL FORD MONDEO","2008",197000,"Gri",46500,"13 Mayıs 2017"," Nevşehir Merkez","Ford Mondeo 1.6 Tita",35.19038,39.812821
"1546","Renault Fluence 1.5 dCi Touch
            29.000 KM'DE HATASIZ BOYASIZ RENAULT FLUENCE 1.5 dCİ TOUCH 90 HP
                
                            
                            Yeni Gibi","2016",29000,"Beyaz",60000,"13 Mayıs 2017"," Antalya Serik","Renault Fluence 1.5 ",35.19038,39.812821
"1646","Citroen C5 1.6 e-HDi Executive
            BOZTEPE DEN 2013 MODEL 73.000 KM'DE SUNROOFLU CİTROEN C5 1.6e-HDİ EXECUTİVE DİZEL","2013",1e+05,"Beyaz",64000,"13 Mayıs 2017"," Mardin Kızıltepe","Citroen C5 1.6 e-HDi",32.831015,40.0210623
"1846","Tofaş Şahin 1.6
            BEBEK DEN 92 ŞAHİN ORJİNAL MUAYENE VAR","1992",1e+05,"Beyaz",8750,"13 Mayıs 2017"," Mersin Tarsus","Tofaş Şahin 1.6
   ",35.2587964,36.9674013
"1946","Opel Astra 1.6 Enjoy
            EMİN OTOMOTİV'DEN 2009 OPEL ASTRA 1.6 ENJOY BENZİN / LPG","2009",93232,"Gri",41000,"13 Mayıs 2017","İstanbulÜsküdar","Opel Astra 1.6 Enjoy",35.19038,39.812821
"2046","Renault Clio 1.4 RNA
            MEMURDAN ORGİNAL ARAYANLARA","2001",133000,"Bordo",22750,"13 Mayıs 2017"," Isparta Merkez","Renault Clio 1.4 RNA",35.19038,39.812821
"2147","Kia Soul 1.6 CRDi Premium
            KIA BAYİ TEKKAR'DAN 2 BİNDE DCT SOUL-FIRSAT ARACI
                
                            
                            Yeni Gibi","2016",2500,"Şampanya",88750,"13 Mayıs 2017","İstanbul Kartal","Kia Soul 1.6 CRDi Pr",36.5550757,41.2578477
"2246","Renault Symbol 1.5 dCi Joy
            60.000 KM'DE HATASIZ BOYASIZ 90'LIK RENAULT SYMBOL 1.5 dCİ JOY","2015",60000,"Beyaz",44000,"13 Mayıs 2017"," Antalya Serik","Renault Symbol 1.5 d",35.19038,39.812821
"2346","Ford Focus 1.6 TDCi Titanium
            ''UYGUNOĞLU OTOMOTİV''DEN BOYASIZ 2016 FOCUS TİTANIUM 6000 KM'DE
                
                            
                            Yeni Gibi","2016",6000,"Beyaz",89750,"13 Mayıs 2017","İzmir Tire","Ford Focus 1.6 TDCi ",35.19038,39.812821
"276","Tofaş Şahin 1.6 ie
            Avcı kardeşler otomotıv","2000",153650,"Beyaz",12500,"13 Mayıs 2017"," Antalya Kepez","Tofaş Şahin 1.6 ie
",33.1145764,40.1329566
"347","Mercedes - Benz C 250 BlueEFFICIENCY AMG
            ERDEMLER'DEN 2012 MERCEDES C250 COUPE AMG 7G-TRONİC","2012",85000,"Siyah",99500,"13 Mayıs 2017","İstanbul Bağcılar","Mercedes - Benz C 25",36.5550757,41.2578477
"447","Renault Clio 1.5 dCi Joy
            YUNUS DAN HATASIZ FULL ORJİNAL 90.KM DE CLİO MUAYENELİ 90.BEYGİR","2013",90000,"Beyaz",38750,"13 Mayıs 2017"," Sakarya Adapazarı","Renault Clio 1.5 dCi",29.2785638,38.7226697
"546","Toyota Auris 1.6 Active Skypack
            ''UYGUNOĞLU OTOMOTİV''DEN 2013 AURİS OTM+CAM TVN+F1+EĞLENE PKT","2013",31000,"Beyaz",59900,"13 Mayıs 2017","İzmir Tire","Toyota Auris 1.6 Act",37.3399768,37.203126
"747","Renault Clio 1.5 dCi Touch
            BOYASIZ 2016 MODEL RENAULT CLİO 1.5 dCİ TOUCH OTOMATİK 90 HP","2016",38000,"Beyaz",60750,"13 Mayıs 2017"," Antalya Serik","Renault Clio 1.5 dCi",36.5550757,41.2578477
"847","Volvo S40 1.6
            VOLVO S 40-SIRALI LPG Lİ-ORJİNAL-1.6-16 VALF-109 HP....","2004",180000,"Lacivert",33750,"13 Mayıs 2017"," Antalya Muratpaşa","Volvo S40 1.6
     ",35.5220012,37.1034441
"947","Peugeot 307 1.6 XT
            2003 PEUGEOT 307 XT    OTOMATİK","2003",168000,"Gri (Gümüş)",26500,"13 Mayıs 2017"," AnkaraÇankaya","Peugeot 307 1.6 XT
",33.1145764,40.1329566
"1046","Hyundai Accent 1.3 LX
            ''UYGUNOĞLU OTOMOTİV''DEN ORİJİNAL 1998 ACCENT 1.3 LX Y.KASA","1998",175000,"Yeşil",13250,"13 Mayıs 2017","İzmir Tire","Hyundai Accent 1.3 L",27.2911248,38.3337361
"1147","Ford Fiesta 1.5 TDCi Trend
            103.000 KM'DE HATASIZ FORD FİESTA 1.5 TDCİ TREND 75 HP","2013",103000,"Beyaz",40000,"13 Mayıs 2017"," Antalya Serik","Ford Fiesta 1.5 TDCi",28.8536084,40.9831984
"1247","Renault Megane 2.0 RXT
            PARK  35 DEN 2.0  RXT  LPGLİ FULL MEGANE 1","1998",279000,"Bej",17900,"13 Mayıs 2017","İzmir Gaziemir","Renault Megane 2.0 R",35.2587964,36.9674013
"1347","Renault Symbol 1.5 dCi Authentique
            YEDİTEPEDEN 2011 RENAULT SYBMOL 1.5 DCİ, 160.000KMDE","2011",160000,"Gri (Gümüş)",24450,"13 Mayıs 2017","İstanbul Bağcılar","Renault Symbol 1.5 d",28.6614809,41.0343177
"1447","Citroen C3 1.4 HDi Attraction
            AY OTOMOTİV DEN YENİ KASA C3 YAKIT CİMRİSİ
                
                            
                            İlk Sahibi","2011",112000,"Beyaz",35750,"13 Mayıs 2017","İzmir Buca","Citroen C3 1.4 HDi A",35.2587964,36.9674013
"1547","Chevrolet Cruze 1.4 T LT
            2012 MODEL CHEVROLET CURİZE SİTEJİN VAGON 76000 KM DÜZ VİTES
                
                            
                            İlk Sahibi","2013",76000,"Beyaz",40000,"13 Mayıs 2017"," Adana Seyhan","Chevrolet Cruze 1.4 ",29.2204548,40.9184004
