"","İlan Başlığı","Yıl","Kilometre","Renk","Fiyat","Tarih","İl / İlçe","shortname","lon","lat"
"84","Mazda 3 1.6 Dynamic
            MAZDACI AYHAN DAN 2004 MAZDA3 DYNMC TRPTRC LPGLİ BKMLI","2005",185000,"Gri (Gümüş)",35250,"14 Mayıs 2017"," Düzce Merkez","Mazda 3 1.6 Dynamic",30.2512728,37.5647826
"94","Renault Clio 1.5 dCi Alize
            2005 Dizel Clio","2005",225000,"Gri",19500,"14 Mayıs 2017"," Manisa Salihli","Renault Clio 1.5 dCi",30.769476,36.8827594
"103","Mazda 323 1.8
            MAZDACI AYHAN DAN 97 323 FULL LANTİS SNROF ABS KLİMA AİRBG OTMTK LPGLİ","1997",225000,"Lacivert",19750,"14 Mayıs 2017"," Düzce Merkez","Mazda 323 1.8
     ",29.127778,40.983333
"114","Opel Corsa 1.7 DTi Comfort
            ACR MOTORS OPEL CORSA 1.7 HUSUSİ OTOMOBİL","2003",260000,"Beyaz",19750,"14 Mayıs 2017"," Antalya Muratpaşa","Opel Corsa 1.7 DTi C",30.039825,39.906058
"124","Mazda 323 1.6 GLX
            MAZDACI AYHAN DAN 93 MAZDA 323 SEDAN LPGLİ","1993",263000,"Kırmızı",14750,"14 Mayıs 2017"," Düzce Merkez","Mazda 323 1.6 GLX
 ",27.2911248,38.3337361
"134","Ford Taunus 1.6 GT
            Ford taunus deyşen siz Boyasız","1987",41000,"Mavi",9500,"14 Mayıs 2017","İzmir Gaziemir","Ford Taunus 1.6 GT
",28.688593,36.966034
"144","Toyota Corolla 1.4 D-4D Elegant
            AYTEMIZ OTOMOTIVDEN TOYOTA DIZEL SEAN","2013",22000,"Beyaz",28000,"14 Mayıs 2017"," AnkaraÇankaya","Toyota Corolla 1.4 D",30.039825,39.906058
"154","Toyota Avensis 1.6 Comfort
            AHMET YILDIRIM 'dan Orijinal Km","2006",114000,"Füme",39750,"14 Mayıs 2017"," Adana Seyhan","Toyota Avensis 1.6 C",30.039825,39.906058
"164","Volkswagen Polo 1.4 Comfortline
            VOLKSWAGEN POLO 1.4 COMFORTLINE TIPTRONIC DSG 85","2012",80447,"Beyaz",56500,"14 Mayıs 2017"," AnkaraÇankaya","Volkswagen Polo 1.4 ",35.886722,40.301847
"184","Chevrolet Aveo 1.4 SE
            ATA HYUNDAİ PLAZADAN 2011 MODEL CHEVROLET AVEO 1.4 16V SE","2011",103102,"Beyaz",34750,"14 Mayıs 2017"," AnkaraÇankaya","Chevrolet Aveo 1.4 S",32.832889,36.077286
"194","Skoda Fabia 1.4 Comfort
            """"GÜREL OTO""""2001 FABİA 1.4 16V COMFORT BOYASIZ ORJİNAL","2001",190000,"Mavi",19900,"14 Mayıs 2017","İzmir Gaziemir","Skoda Fabia 1.4 Comf",29.0227159,40.1794309
"204","Volkswagen Polo 1.4 Comfortline
            Erden otomotiv","1998",220000,"Mavi",19250,"14 Mayıs 2017"," Eskişehir Odunpazarı","Volkswagen Polo 1.4 ",30.769476,36.8827594
"214","Renault Clio 1.4 Fidji
            RENAULT CLİO 2005 FIDJİ GÜMÜŞ TÜPLÜ VİZ YENİ MUHAYYER BAKIMLARI YENİ YAPILMIŞTIR","2005",157000,"Gri (Gümüş)",21990,"14 Mayıs 2017"," Konya Karatay","Renault Clio 1.4 Fid",32.144701,39.585047
"224","Renault Symbol 1.2 Joy
            RENAULT SYMBOL 1.2 LPG ORİJİNAL HATASIZ MUHAYYER HATASIZ BAKIMLI","2013",162000,"Gri (Gümüş)",29900,"14 Mayıs 2017"," Konya Karatay","Renault Symbol 1.2 J",30.6890055,36.9934776
"234","Mercedes - Benz E 200 Kompressor Avantgarde
            MERCEDES E 200 KOMPRESÖR AVANGARDE CAM TAVAN HATASIZ LPG OTOMATİK F1 VİTES UHAYYER BAKIMLI İÇİ DIŞI TEMİZ AZ YAKAR W 211 KASA SİYAH  DERİ DÖŞEME","2005",161000,"Siyah",95000,"14 Mayıs 2017"," Konya Karatay","Mercedes - Benz E 20",32.832889,36.077286
"28","Renault Symbol 1.5 dCi Joy
            """"GÜREL OTO""""KREDİ BİZDEN 2014 SYMBOL 1.5 DCİ JOY 90 HP","2014",122000,"Beyaz",36900,"14 Mayıs 2017","İzmir Gaziemir","Renault Symbol 1.5 d",32.9212265,39.8451842
"35","Renault Symbol 1.5 dCi Joy
            """"GÜREL OTO""""KREDİ BİZDEN 2014 SYMBOL 1.5 DCİ JOY ORJİNAL","2014",1e+05,"Gri",39900,"14 Mayıs 2017","İzmir Gaziemir","Renault Symbol 1.5 d",34.758223,39.500486
"45","Skoda Fabia 1.6 TDI Ambiente
            BOYASIZ DEĞİŞENSİZ DİZEL 16 SKODA FABİA","2011",117000,"Kırmızı",38500,"14 Mayıs 2017"," Elazığ Merkez","Skoda Fabia 1.6 TDI ",29.0227159,40.1794309
"54","Ford Focus 1.6 TDCi Titanium
            SONRUUFLU TİTANİUM  SMART PAKET-FULL DİZEL FORD FOCUS-EXPERTİZ RAPORLU","2013",88900,"Beyaz",64000,"14 Mayıs 2017"," Elazığ Merkez","Ford Focus 1.6 TDCi ",32.9833371,40.0092683
"75","Mazda 6 2.0 Dynamic
            MAZDACI AYHAN DAN 2009 MAZDA6 TRİPTRNC VTS SANROFLU","2010",155000,"Gri (metalik)",59750,"14 Mayıs 2017"," Düzce Merkez","Mazda 6 2.0 Dynamic",34.6414028,38.5977511
"85","Renault R 9 1.4 Broadway GTE
            YEDİİKLİM DEN BROADWAY","1992",120000,"Beyaz",8999,"14 Mayıs 2017"," GaziantepŞehitkamil","Renault R 9 1.4 Broa",30.769476,36.8827594
"95","Renault Symbol 1.2 Joy
            2015 RENAULT SYMBOL BAKIMLI MASRAFSIZ","2015",51000,"Gri (Gümüş)",33000,"14 Mayıs 2017"," Elazığ Merkez","Renault Symbol 1.2 J",27.601134,37.872648
